20230320	漏洞分析	https://www.52pojie.cn/thread-1757035-1-1.html	《吾爱破解精华集 2022》自解压包源代码	52pojie.cn	www.52pojie.cn	/thread-1757035-1-1.html
20230320	漏洞分析	https://paper.seebug.org/2055/	FastJson 与原生反序列化	seebug.org	paper.seebug.org	/2055/
20230320	Web安全	https://github.com/Anof-cyber/APTRS	APTRS：一款功能强大的自动化渗透测试报告系统	github.com	github.com	/Anof-cyber/APTRS
20230320	恶意分析	https://mp.weixin.qq.com/s/X29iHBf3Qa5Jk4cwckrbrA	一些常用的恶意软件分析工具	qq.com	mp.weixin.qq.com	/s/X29iHBf3Qa5Jk4cwckrbrA
20230320	Web安全	https://xz.aliyun.com/t/12321	探究公众号接口漏洞：从后台登录口到旁站getshell	aliyun.com	xz.aliyun.com	/t/12321
20230320	Web安全	https://github.com/4ra1n/jar-analyzer	jar-analyzer 一个用于分析Jar包的GUI工具	github.com	github.com	/4ra1n/jar-analyzer
20230320	Web安全	https://xz.aliyun.com/t/12303	Python沙箱逃逸学习记录	aliyun.com	xz.aliyun.com	/t/12303
20230320	其它	https://mp.weixin.qq.com/s/Bb3-PTjphSIjoJX55tOYoQ	以色列网络安全产业研究及对我启示	qq.com	mp.weixin.qq.com	/s/Bb3-PTjphSIjoJX55tOYoQ
20230320	杂志	https://www.sec-wiki.com/weekly/472	SecWiki周刊（第472期)	sec-wiki.com	www.sec-wiki.com	/weekly/472
20230320	漏洞分析	https://xz.aliyun.com/t/12328	Node.js些许漏洞	aliyun.com	xz.aliyun.com	/t/12328
20230320	编程技术	https://bbs.kanxue.com/thread-276613.htm	使用Frida Hook 自动化发现可DLL劫持利用白文件	kanxue.com	bbs.kanxue.com	/thread-276613.htm
20230320	漏洞分析	https://mp.weixin.qq.com/s/lCkG4_wyhTpX1qDgF9_Flg	结合图学习和自动数据收集的代码漏洞检测模型	qq.com	mp.weixin.qq.com	/s/lCkG4_wyhTpX1qDgF9_Flg
20230320	其它	http://zfsg.gd.gov.cn/zwgk/wjk/content/post_3829200.html	2021广东省数字政府网络安全指数评估报告	gd.gov.cn	zfsg.gd.gov.cn	/zwgk/wjk/content/post_3829200.html
20230320	漏洞分析	https://mp.weixin.qq.com/s/rW4PnPiNq-m4W7AvHGq36Q	Squirrel：基于覆盖反馈的数据库管理软件模糊测试工具详解	qq.com	mp.weixin.qq.com	/s/rW4PnPiNq-m4W7AvHGq36Q
20230327	法规	http://www.mohrss.gov.cn/xxgk2020/fdzdgknr/qt/gztz/202303/t20230327_497435.html	密码工程技术人员国家职业标准	mohrss.gov.cn	www.mohrss.gov.cn	/xxgk2020/fdzdgknr/qt/gztz/202303/t20230327_497435.html
20230327	法规	https://mp.weixin.qq.com/s/_QtXvwbRgxV-Mk9dk3Q9xg	网信部门行政执法程序规定	qq.com	mp.weixin.qq.com	/s/_QtXvwbRgxV-Mk9dk3Q9xg
20230327	Web安全	https://mp.weixin.qq.com/s/6ZDto8QAUKTur5s_haGFdw	记一次RCE+heapdump信息泄露引发的血案	qq.com	mp.weixin.qq.com	/s/6ZDto8QAUKTur5s_haGFdw
20230327	文档	https://share.weiyun.com/YqrCdqZ8	2023产业互联网安全十大趋势报告	weiyun.com	share.weiyun.com	/YqrCdqZ8
20230327	Web安全	https://mp.weixin.qq.com/s/64WVh50cU31QXfL2FNN6oA	纵向突破-漏洞归纳总结	qq.com	mp.weixin.qq.com	/s/64WVh50cU31QXfL2FNN6oA
20230327	Web安全	https://mp.weixin.qq.com/s/QbcLigLj_sUWx5awghX7qQ	通过 Qodana 的污点分析保护 PHP 代码	qq.com	mp.weixin.qq.com	/s/QbcLigLj_sUWx5awghX7qQ
20230327	其它	https://zhuanlan.zhihu.com/p/616161071	隐私、安全和密码学的研究趋势 ——来自微软研究院的研究成果简介	zhihu.com	zhuanlan.zhihu.com	/p/616161071
