20230703	法规	http://www.cac.gov.cn/2023-07/03/c_1690034742530280.htm	关于调整《网络关键设备和网络安全专用产品目录》的公告	cac.gov.cn	www.cac.gov.cn	/2023-07/03/c_1690034742530280.htm
20230703	Web安全	https://mp.weixin.qq.com/s/HTH4YQVjyxngPn87wflJdg	[RedTeam] 轮换源IP	qq.com	mp.weixin.qq.com	/s/HTH4YQVjyxngPn87wflJdg
20230703	编程技术	https://github.com/mengjian-github/copilot-analysis	逆向分析Github Copilot	github.com	github.com	/mengjian-github/copilot-analysis
20230703	Web安全	https://mp.weixin.qq.com/s/jlJhqlfzhn13ZqmPChyhFw	Web3 安全入门（重点智能合约安全）	qq.com	mp.weixin.qq.com	/s/jlJhqlfzhn13ZqmPChyhFw
20230703	Web安全	https://mp.weixin.qq.com/s/ZVeDA6tQyl7w4ClvGLH3-Q	攻防演习防守标准化的实践与思考	qq.com	mp.weixin.qq.com	/s/ZVeDA6tQyl7w4ClvGLH3-Q
20230703	Web安全	https://mp.weixin.qq.com/s/neBdaMtiqvwr-pPKYQvsfg	Afuzz 一款适用于自动化Bug Bounty的敏文文件或路径发现工具	qq.com	mp.weixin.qq.com	/s/neBdaMtiqvwr-pPKYQvsfg
20230703	杂志	https://www.sec-wiki.com/weekly/487	SecWiki周刊（第487期)	sec-wiki.com	www.sec-wiki.com	/weekly/487
20230703	无线安全	https://mp.weixin.qq.com/s/B1sdQPO4mSPE2J365aHmCQ	5G 系统安全测试与自动化	qq.com	mp.weixin.qq.com	/s/B1sdQPO4mSPE2J365aHmCQ
20230703	Web安全	https://mp.weixin.qq.com/s/U4kdKVNwQxllQrxNh5y77Q	TChecker：用于检测PHP应用程序中的污点式漏洞的精确静态跨过程分析	qq.com	mp.weixin.qq.com	/s/U4kdKVNwQxllQrxNh5y77Q
20230703	文档	https://www.colasoft.com.cn/wp-content/uploads/2023/07/%E7%A7%91%E6%9D%A5%E3%80%8A%E7%BD%91%E7%BB%9C%E9%80%9A%E8%AE%AF%E5%8D%8F%E8%AE%AE%E5%9B%BE2023%E7%89%88%E3%80%8B.pdf	网络通讯协议图2023版	colasoft.com.cn	www.colasoft.com.cn	/wp-content/uploads/2023/07/%E7%A7%91%E6%9D%A5%E3%80%8A%E7%BD%91%E7%BB%9C%E9%80%9A%E8%AE%AF%E5%8D%8F%E8%AE%AE%E5%9B%BE2023%E7%89%88%E3%80%8B.pdf
20230703	Web安全	https://mp.weixin.qq.com/s/KvMhVgCIXcgmM4D-ZHyeWQ	使用RapidDNS的数据自动化提交FOFA赚取F点	qq.com	mp.weixin.qq.com	/s/KvMhVgCIXcgmM4D-ZHyeWQ
20230703	Web安全	https://mp.weixin.qq.com/s/UhchRCg4G96k5ypy5hceYA	安全事件运营SOP：软件供应链投毒事件	qq.com	mp.weixin.qq.com	/s/UhchRCg4G96k5ypy5hceYA
20230703	恶意分析	https://mp.weixin.qq.com/s/fi_wg6LH4hRd3RqSNhs9CA	针对安全研究人员的POC投毒事件	qq.com	mp.weixin.qq.com	/s/fi_wg6LH4hRd3RqSNhs9CA
20230703	取证分析	https://www.slowmist.com/report/first-half-of-the-2023-report(CN).pdf	2023 上半年区块链安全与反洗钱报告	slowmist.com	www.slowmist.com	/report/first-half-of-the-2023-report(CN).pdf
20230703	数据挖掘	https://mp.weixin.qq.com/s/DpXcLrOBewdqR6Z8CYKH8g	通过大语言模型（LLM）识别与修复风险代码	qq.com	mp.weixin.qq.com	/s/DpXcLrOBewdqR6Z8CYKH8g
20230703	无线安全	https://mp.weixin.qq.com/s/ftaqzXcP23ATsCms1qfgHg	基于树莓派的蓝牙协议抓包	qq.com	mp.weixin.qq.com	/s/ftaqzXcP23ATsCms1qfgHg
20230703	编程技术	https://mp.weixin.qq.com/s/E0X7094kk9My7JTEOELjDg	万亿数据仓库架构设计与实现	qq.com	mp.weixin.qq.com	/s/E0X7094kk9My7JTEOELjDg
20230703	其它	https://www.sec-in.com/article/2166	浅谈Apache与CVE-2023-20860	sec-in.com	www.sec-in.com	/article/2166
20230703	数据挖掘	https://mp.weixin.qq.com/s/HMCMyT0FKV5fGo4NRKSa5g	大型语言模型与知识图谱协同研究综述：两大技术优势互补	qq.com	mp.weixin.qq.com	/s/HMCMyT0FKV5fGo4NRKSa5g
20230703	恶意分析	https://mp.weixin.qq.com/s/WcJoe3EFSoB7CVbKUCP-YQ	AttacKG：从网络威胁情报报告构建技术知识图谱	qq.com	mp.weixin.qq.com	/s/WcJoe3EFSoB7CVbKUCP-YQ
20230703	其它	https://mp.weixin.qq.com/s/fQ5HzCzroKlbMjKKdrazcA	IARPA首次利用网络心理学赋能网络防御重塑安全	qq.com	mp.weixin.qq.com	/s/fQ5HzCzroKlbMjKKdrazcA
20230703	数据挖掘	https://mp.weixin.qq.com/s/H-YS_FsPHr4Ox-BjSBQOyw	DARPA XAI项目对可解释AI的探索	qq.com	mp.weixin.qq.com	/s/H-YS_FsPHr4Ox-BjSBQOyw
20230703	取证分析	https://mp.weixin.qq.com/s/9tfwxjEyFw2WtxPTf8EXqQ	威胁狩猎-ICMP流量分析	qq.com	mp.weixin.qq.com	/s/9tfwxjEyFw2WtxPTf8EXqQ
20230703	法规	https://mp.weixin.qq.com/s/zLi4d3qvjcADJgsAGwgjLQ	欧盟网络保险的需求方：ENISA报告解读	qq.com	mp.weixin.qq.com	/s/zLi4d3qvjcADJgsAGwgjLQ
20230703	数据挖掘	https://github.com/PKU-YuanGroup/ChatLaw	ChatLaw: 中文法律大模型	github.com	github.com	/PKU-YuanGroup/ChatLaw
20230703	漏洞分析	https://mp.weixin.qq.com/s/Xe8GL3pG7Bjmk5Hv8esLMw	基于覆盖率的Fuzzer和AFL	qq.com	mp.weixin.qq.com	/s/Xe8GL3pG7Bjmk5Hv8esLMw
20230703	其它	https://mp.weixin.qq.com/s/sExNTVfc-Wbz0hYlPt3Q_Q	以变应万变？2023年上半年DARPA网络空间项目梳理	qq.com	mp.weixin.qq.com	/s/sExNTVfc-Wbz0hYlPt3Q_Q
20230703	移动安全	https://mp.weixin.qq.com/s/WI3WYR_ABxorBoNACpju3A	ART环境下dex加载流程分析及frida dump dex方案	qq.com	mp.weixin.qq.com	/s/WI3WYR_ABxorBoNACpju3A
20230703	数据挖掘	https://mp.weixin.qq.com/s/kybMSwSuFWV7Fcyp4YEs6Q	探索预训练语言模型在事件抽取与生成方面的应用	qq.com	mp.weixin.qq.com	/s/kybMSwSuFWV7Fcyp4YEs6Q
